id,location,fault_severity,severity_type,event_type,log_feature,resource_type,text_for_ai
8548,location 948,1,severity_type 1,"event_type 11, event_type 14",feature 163,"resource_type 8, resource_type 4","Incident 8548 à location 948. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 163], Événements [event_type 11, event_type 14], Ressource [resource_type 8, resource_type 4]."
9566,location 808,0,severity_type 1,"event_type 11, event_type 15","feature 71, feature 193",resource_type 8,"Incident 9566 à location 808. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 71, feature 193], Événements [event_type 11, event_type 15], Ressource [resource_type 8]."
15652,location 894,0,severity_type 1,"event_type 44, event_type 45, event_type 43, event_type 42","feature 378, feature 291, feature 376, feature 375, feature 293, feature 290, feature 368, feature 283",resource_type 2,"Incident 15652 à location 894. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 378, feature 291, feature 376, feature 375, feature 293, feature 290, feature 368, feature 283], Événements [event_type 44, event_type 45, event_type 43, event_type 42], Ressource [resource_type 2]."
3931,location 875,0,severity_type 1,event_type 11,"feature 202, feature 81",resource_type 8,"Incident 3931 à location 875. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 202, feature 81], Événements [event_type 11], Ressource [resource_type 8]."
4557,location 1024,0,severity_type 2,event_type 11,feature 73,resource_type 8,"Incident 4557 à location 1024. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 73], Événements [event_type 11], Ressource [resource_type 8]."
3610,location 166,0,severity_type 4,event_type 35,feature 312,resource_type 2,"Incident 3610 à location 166. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 312], Événements [event_type 35], Ressource [resource_type 2]."
16574,location 687,0,severity_type 4,event_type 11,feature 54,resource_type 8,"Incident 16574 à location 687. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 54], Événements [event_type 11], Ressource [resource_type 8]."
7504,location 1016,1,severity_type 1,event_type 11,"feature 170, feature 54",resource_type 8,"Incident 7504 à location 1016. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 170, feature 54], Événements [event_type 11], Ressource [resource_type 8]."
9735,location 707,0,severity_type 2,event_type 15,"feature 193, feature 71",resource_type 8,"Incident 9735 à location 707. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 193, feature 71], Événements [event_type 15], Ressource [resource_type 8]."
14048,location 978,1,severity_type 1,"event_type 15, event_type 11","feature 201, feature 80",resource_type 8,"Incident 14048 à location 978. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 201, feature 80], Événements [event_type 15, event_type 11], Ressource [resource_type 8]."
6769,location 775,0,severity_type 1,"event_type 15, event_type 11","feature 203, feature 82",resource_type 8,"Incident 6769 à location 775. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 203, feature 82], Événements [event_type 15, event_type 11], Ressource [resource_type 8]."
2514,location 829,0,severity_type 2,event_type 11,"feature 55, feature 171",resource_type 8,"Incident 2514 à location 829. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 55, feature 171], Événements [event_type 11], Ressource [resource_type 8]."
896,location 732,0,severity_type 1,event_type 11,"feature 55, feature 171",resource_type 8,"Incident 896 à location 732. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 55, feature 171], Événements [event_type 11], Ressource [resource_type 8]."
4757,location 508,0,severity_type 2,"event_type 35, event_type 34","feature 312, feature 229, feature 232, feature 311, feature 314, feature 309, feature 316, feature 234",resource_type 2,"Incident 4757 à location 508. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 312, feature 229, feature 232, feature 311, feature 314, feature 309, feature 316, feature 234], Événements [event_type 35, event_type 34], Ressource [resource_type 2]."
16358,location 257,1,severity_type 1,event_type 20,"feature 134, feature 219",resource_type 2,"Incident 16358 à location 257. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 134, feature 219], Événements [event_type 20], Ressource [resource_type 2]."
11810,location 116,0,severity_type 2,"event_type 34, event_type 35","feature 232, feature 312",resource_type 2,"Incident 11810 à location 116. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 232, feature 312], Événements [event_type 34, event_type 35], Ressource [resource_type 2]."
7274,location 830,1,severity_type 1,event_type 11,"feature 68, feature 209, feature 87",resource_type 8,"Incident 7274 à location 830. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 68, feature 209, feature 87], Événements [event_type 11], Ressource [resource_type 8]."
2972,location 491,0,severity_type 2,"event_type 34, event_type 35","feature 235, feature 315",resource_type 2,"Incident 2972 à location 491. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 235, feature 315], Événements [event_type 34, event_type 35], Ressource [resource_type 2]."
7392,location 253,0,severity_type 2,"event_type 35, event_type 34","feature 232, feature 227, feature 233, feature 307, feature 313, feature 312",resource_type 2,"Incident 7392 à location 253. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 232, feature 227, feature 233, feature 307, feature 313, feature 312], Événements [event_type 35, event_type 34], Ressource [resource_type 2]."
6824,location 740,0,severity_type 2,event_type 11,"feature 195, feature 73",resource_type 8,"Incident 6824 à location 740. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 195, feature 73], Événements [event_type 11], Ressource [resource_type 8]."
4311,location 704,2,severity_type 1,"event_type 15, event_type 11","feature 74, feature 203, feature 80, feature 201, feature 196, feature 82",resource_type 8,"Incident 4311 à location 704. Statut Final: PANNE CRITIQUE (Coupure de service). Détails Techniques: Logs [feature 74, feature 203, feature 80, feature 201, feature 196, feature 82], Événements [event_type 15, event_type 11], Ressource [resource_type 8]."
12261,location 1089,2,severity_type 1,event_type 11,"feature 170, feature 68, feature 54",resource_type 8,"Incident 12261 à location 1089. Statut Final: PANNE CRITIQUE (Coupure de service). Détails Techniques: Logs [feature 170, feature 68, feature 54], Événements [event_type 11], Ressource [resource_type 8]."
14752,location 653,0,severity_type 2,"event_type 11, event_type 15","feature 76, feature 68",resource_type 8,"Incident 14752 à location 653. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 76, feature 68], Événements [event_type 11, event_type 15], Ressource [resource_type 8]."
14992,location 600,2,severity_type 2,event_type 15,"feature 203, feature 82",resource_type 8,"Incident 14992 à location 600. Statut Final: PANNE CRITIQUE (Coupure de service). Détails Techniques: Logs [feature 203, feature 82], Événements [event_type 15], Ressource [resource_type 8]."
967,location 892,2,severity_type 1,"event_type 42, event_type 43, event_type 44","feature 291, feature 375, feature 290, feature 283, feature 368, feature 376",resource_type 2,"Incident 967 à location 892. Statut Final: PANNE CRITIQUE (Coupure de service). Détails Techniques: Logs [feature 291, feature 375, feature 290, feature 283, feature 368, feature 376], Événements [event_type 42, event_type 43, event_type 44], Ressource [resource_type 2]."
8059,location 802,0,severity_type 4,event_type 23,feature 306,resource_type 7,"Incident 8059 à location 802. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 306], Événements [event_type 23], Ressource [resource_type 7]."
13406,location 794,0,severity_type 1,"event_type 14, event_type 23, event_type 11, event_type 20","feature 163, feature 47, feature 134, feature 306, feature 219","resource_type 4, resource_type 2, resource_type 7, resource_type 8","Incident 13406 à location 794. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 163, feature 47, feature 134, feature 306, feature 219], Événements [event_type 14, event_type 23, event_type 11, event_type 20], Ressource [resource_type 4, resource_type 2, resource_type 7, resource_type 8]."
11424,location 477,0,severity_type 2,"event_type 35, event_type 34","feature 235, feature 229, feature 312, feature 234, feature 315, feature 314, feature 309",resource_type 2,"Incident 11424 à location 477. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 235, feature 229, feature 312, feature 234, feature 315, feature 314, feature 309], Événements [event_type 35, event_type 34], Ressource [resource_type 2]."
3945,location 684,2,severity_type 2,event_type 15,"feature 71, feature 82, feature 203",resource_type 8,"Incident 3945 à location 684. Statut Final: PANNE CRITIQUE (Coupure de service). Détails Techniques: Logs [feature 71, feature 82, feature 203], Événements [event_type 15], Ressource [resource_type 8]."
10351,location 895,2,severity_type 1,"event_type 42, event_type 44, event_type 43","feature 375, feature 283, feature 291, feature 368, feature 376, feature 290",resource_type 2,"Incident 10351 à location 895. Statut Final: PANNE CRITIQUE (Coupure de service). Détails Techniques: Logs [feature 375, feature 283, feature 291, feature 368, feature 376, feature 290], Événements [event_type 42, event_type 44, event_type 43], Ressource [resource_type 2]."
2272,location 496,0,severity_type 2,"event_type 35, event_type 34","feature 307, feature 312, feature 233, feature 227, feature 313, feature 232",resource_type 2,"Incident 2272 à location 496. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 307, feature 312, feature 233, feature 227, feature 313, feature 232], Événements [event_type 35, event_type 34], Ressource [resource_type 2]."
10752,location 321,1,severity_type 2,"event_type 34, event_type 35","feature 312, feature 307, feature 232",resource_type 2,"Incident 10752 à location 321. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 312, feature 307, feature 232], Événements [event_type 34, event_type 35], Ressource [resource_type 2]."
17096,location 1107,2,severity_type 1,"event_type 15, event_type 11","feature 71, feature 193, feature 201, feature 203, feature 108, feature 82",resource_type 8,"Incident 17096 à location 1107. Statut Final: PANNE CRITIQUE (Coupure de service). Détails Techniques: Logs [feature 71, feature 193, feature 201, feature 203, feature 108, feature 82], Événements [event_type 15, event_type 11], Ressource [resource_type 8]."
17314,location 1086,2,severity_type 2,event_type 15,"feature 82, feature 203",resource_type 8,"Incident 17314 à location 1086. Statut Final: PANNE CRITIQUE (Coupure de service). Détails Techniques: Logs [feature 82, feature 203], Événements [event_type 15], Ressource [resource_type 8]."
12770,location 895,1,severity_type 1,"event_type 42, event_type 43, event_type 44","feature 290, feature 283, feature 375, feature 368, feature 376, feature 291",resource_type 2,"Incident 12770 à location 895. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 290, feature 283, feature 375, feature 368, feature 376, feature 291], Événements [event_type 42, event_type 43, event_type 44], Ressource [resource_type 2]."
3304,location 1099,1,severity_type 2,event_type 11,"feature 81, feature 202",resource_type 8,"Incident 3304 à location 1099. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 81, feature 202], Événements [event_type 11], Ressource [resource_type 8]."
9012,location 975,0,severity_type 1,event_type 20,"feature 134, feature 219",resource_type 2,"Incident 9012 à location 975. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 134, feature 219], Événements [event_type 20], Ressource [resource_type 2]."
9928,location 1019,2,severity_type 2,event_type 15,"feature 203, feature 82",resource_type 8,"Incident 9928 à location 1019. Statut Final: PANNE CRITIQUE (Coupure de service). Détails Techniques: Logs [feature 203, feature 82], Événements [event_type 15], Ressource [resource_type 8]."
297,location 812,2,severity_type 1,"event_type 10, event_type 11","feature 55, feature 150, feature 171, feature 35","resource_type 8, resource_type 3","Incident 297 à location 812. Statut Final: PANNE CRITIQUE (Coupure de service). Détails Techniques: Logs [feature 55, feature 150, feature 171, feature 35], Événements [event_type 10, event_type 11], Ressource [resource_type 8, resource_type 3]."
5751,location 342,0,severity_type 2,"event_type 35, event_type 34","feature 232, feature 312",resource_type 2,"Incident 5751 à location 342. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 232, feature 312], Événements [event_type 35, event_type 34], Ressource [resource_type 2]."
17692,location 744,1,severity_type 2,"event_type 14, event_type 11","feature 54, feature 170","resource_type 8, resource_type 4","Incident 17692 à location 744. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 54, feature 170], Événements [event_type 14, event_type 11], Ressource [resource_type 8, resource_type 4]."
3688,location 181,0,severity_type 4,event_type 35,"feature 313, feature 312",resource_type 2,"Incident 3688 à location 181. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 313, feature 312], Événements [event_type 35], Ressource [resource_type 2]."
3425,location 1086,1,severity_type 2,event_type 15,"feature 203, feature 82",resource_type 8,"Incident 3425 à location 1086. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 203, feature 82], Événements [event_type 15], Ressource [resource_type 8]."
7871,location 1052,1,severity_type 1,"event_type 15, event_type 11","feature 203, feature 80, feature 82",resource_type 8,"Incident 7871 à location 1052. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 203, feature 80, feature 82], Événements [event_type 15, event_type 11], Ressource [resource_type 8]."
10013,location 696,0,severity_type 2,event_type 11,"feature 54, feature 170",resource_type 8,"Incident 10013 à location 696. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 54, feature 170], Événements [event_type 11], Ressource [resource_type 8]."
13832,location 1008,1,severity_type 2,event_type 15,"feature 80, feature 82, feature 203",resource_type 8,"Incident 13832 à location 1008. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 80, feature 82, feature 203], Événements [event_type 15], Ressource [resource_type 8]."
11743,location 798,1,severity_type 2,event_type 15,"feature 82, feature 203",resource_type 8,"Incident 11743 à location 798. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 82, feature 203], Événements [event_type 15], Ressource [resource_type 8]."
10099,location 760,1,severity_type 1,"event_type 11, event_type 54","feature 170, feature 54","resource_type 8, resource_type 2","Incident 10099 à location 760. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 170, feature 54], Événements [event_type 11, event_type 54], Ressource [resource_type 8, resource_type 2]."
16682,location 777,1,severity_type 2,event_type 15,"feature 203, feature 82",resource_type 8,"Incident 16682 à location 777. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 203, feature 82], Événements [event_type 15], Ressource [resource_type 8]."
10156,location 95,1,severity_type 2,"event_type 35, event_type 34","feature 232, feature 230, feature 308, feature 228, feature 307, feature 310, feature 312",resource_type 2,"Incident 10156 à location 95. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 232, feature 230, feature 308, feature 228, feature 307, feature 310, feature 312], Événements [event_type 35, event_type 34], Ressource [resource_type 2]."
16154,location 699,0,severity_type 5,event_type 54,feature 360,resource_type 2,"Incident 16154 à location 699. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 360], Événements [event_type 54], Ressource [resource_type 2]."
14176,location 272,1,severity_type 1,"event_type 35, event_type 20","feature 134, feature 301, feature 219",resource_type 2,"Incident 14176 à location 272. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 134, feature 301, feature 219], Événements [event_type 35, event_type 20], Ressource [resource_type 2]."
14964,location 704,2,severity_type 2,event_type 15,"feature 201, feature 82, feature 80, feature 203",resource_type 8,"Incident 14964 à location 704. Statut Final: PANNE CRITIQUE (Coupure de service). Détails Techniques: Logs [feature 201, feature 82, feature 80, feature 203], Événements [event_type 15], Ressource [resource_type 8]."
12896,location 613,2,severity_type 1,"event_type 54, event_type 15","feature 203, feature 82",resource_type 8,"Incident 12896 à location 613. Statut Final: PANNE CRITIQUE (Coupure de service). Détails Techniques: Logs [feature 203, feature 82], Événements [event_type 54, event_type 15], Ressource [resource_type 8]."
7288,location 846,2,severity_type 2,event_type 15,"feature 203, feature 82",resource_type 8,"Incident 7288 à location 846. Statut Final: PANNE CRITIQUE (Coupure de service). Détails Techniques: Logs [feature 203, feature 82], Événements [event_type 15], Ressource [resource_type 8]."
15882,location 795,0,severity_type 1,"event_type 11, event_type 15","feature 101, feature 167, feature 51",resource_type 8,"Incident 15882 à location 795. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 101, feature 167, feature 51], Événements [event_type 11, event_type 15], Ressource [resource_type 8]."
12441,location 826,1,severity_type 1,"event_type 13, event_type 23, event_type 11","feature 223, feature 345, feature 54, feature 273, feature 306, feature 68, feature 179, feature 170","resource_type 7, resource_type 6, resource_type 8","Incident 12441 à location 826. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 223, feature 345, feature 54, feature 273, feature 306, feature 68, feature 179, feature 170], Événements [event_type 13, event_type 23, event_type 11], Ressource [resource_type 7, resource_type 6, resource_type 8]."
17248,location 112,0,severity_type 2,"event_type 11, event_type 35, event_type 34","feature 181, feature 160, feature 44, feature 232, feature 312","resource_type 8, resource_type 2","Incident 17248 à location 112. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 181, feature 160, feature 44, feature 232, feature 312], Événements [event_type 11, event_type 35, event_type 34], Ressource [resource_type 8, resource_type 2]."
16745,location 778,0,severity_type 2,event_type 15,"feature 80, feature 82",resource_type 8,"Incident 16745 à location 778. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 80, feature 82], Événements [event_type 15], Ressource [resource_type 8]."
5315,location 810,0,severity_type 1,"event_type 11, event_type 15","feature 193, feature 203, feature 71, feature 82",resource_type 8,"Incident 5315 à location 810. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 193, feature 203, feature 71, feature 82], Événements [event_type 11, event_type 15], Ressource [resource_type 8]."
17118,location 895,1,severity_type 1,"event_type 42, event_type 44","feature 283, feature 291",resource_type 2,"Incident 17118 à location 895. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 283, feature 291], Événements [event_type 42, event_type 44], Ressource [resource_type 2]."
7725,location 690,0,severity_type 1,event_type 11,"feature 73, feature 195",resource_type 8,"Incident 7725 à location 690. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 73, feature 195], Événements [event_type 11], Ressource [resource_type 8]."
2311,location 494,0,severity_type 1,"event_type 20, event_type 35, event_type 36, event_type 11, event_type 34","feature 117, feature 181, feature 313, feature 232, feature 233, feature 219, feature 237, feature 312, feature 134, feature 29","resource_type 8, resource_type 2","Incident 2311 à location 494. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 117, feature 181, feature 313, feature 232, feature 233, feature 219, feature 237, feature 312, feature 134, feature 29], Événements [event_type 20, event_type 35, event_type 36, event_type 11, event_type 34], Ressource [resource_type 8, resource_type 2]."
4292,location 1095,0,severity_type 2,event_type 11,feature 77,resource_type 8,"Incident 4292 à location 1095. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 77], Événements [event_type 11], Ressource [resource_type 8]."
15773,location 445,0,severity_type 2,"event_type 35, event_type 34","feature 232, feature 312",resource_type 2,"Incident 15773 à location 445. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 232, feature 312], Événements [event_type 35, event_type 34], Ressource [resource_type 2]."
6531,location 478,0,severity_type 2,"event_type 34, event_type 35","feature 234, feature 232, feature 308, feature 228, feature 314, feature 227, feature 307, feature 229, feature 312, feature 309",resource_type 2,"Incident 6531 à location 478. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 234, feature 232, feature 308, feature 228, feature 314, feature 227, feature 307, feature 229, feature 312, feature 309], Événements [event_type 34, event_type 35], Ressource [resource_type 2]."
16009,location 661,0,severity_type 2,"event_type 22, event_type 11","feature 75, feature 305","resource_type 7, resource_type 8","Incident 16009 à location 661. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 75, feature 305], Événements [event_type 22, event_type 11], Ressource [resource_type 7, resource_type 8]."
11930,location 380,0,severity_type 2,"event_type 35, event_type 34","feature 312, feature 232",resource_type 2,"Incident 11930 à location 380. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 312, feature 232], Événements [event_type 35, event_type 34], Ressource [resource_type 2]."
8541,location 242,0,severity_type 2,"event_type 35, event_type 34","feature 232, feature 312",resource_type 2,"Incident 8541 à location 242. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 232, feature 312], Événements [event_type 35, event_type 34], Ressource [resource_type 2]."
11019,location 1082,0,severity_type 1,event_type 11,"feature 68, feature 55, feature 171",resource_type 8,"Incident 11019 à location 1082. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 68, feature 55, feature 171], Événements [event_type 11], Ressource [resource_type 8]."
8274,location 181,0,severity_type 2,"event_type 34, event_type 35","feature 233, feature 313, feature 235, feature 232, feature 312, feature 315",resource_type 2,"Incident 8274 à location 181. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 233, feature 313, feature 235, feature 232, feature 312, feature 315], Événements [event_type 34, event_type 35], Ressource [resource_type 2]."
722,location 1007,0,severity_type 1,"event_type 11, event_type 15","feature 201, feature 80",resource_type 8,"Incident 722 à location 1007. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 201, feature 80], Événements [event_type 11, event_type 15], Ressource [resource_type 8]."
12305,location 131,1,severity_type 2,"event_type 35, event_type 34","feature 301, feature 221",resource_type 2,"Incident 12305 à location 131. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 301, feature 221], Événements [event_type 35, event_type 34], Ressource [resource_type 2]."
11444,location 1007,1,severity_type 1,"event_type 15, event_type 11","feature 80, feature 201",resource_type 8,"Incident 11444 à location 1007. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 80, feature 201], Événements [event_type 15, event_type 11], Ressource [resource_type 8]."
4006,location 931,1,severity_type 1,"event_type 11, event_type 15","feature 201, feature 82, feature 80, feature 203",resource_type 8,"Incident 4006 à location 931. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 201, feature 82, feature 80, feature 203], Événements [event_type 11, event_type 15], Ressource [resource_type 8]."
